"","schoolcode","num_apply"
"1","10101",5747
"2","10102",1874
"3","10103",8210
"4","10104",2429
"5","10105",1456
"6","10106",3937
"7","10107",3991
"8","10108",4109
"9","10109",8462
"10","10110",2756
"11","10111",2043
"12","10112",2650
"13","10114",5832
"14","10115",3972
"15","10116",6844
"16","10117",7720
"17","10118",14671
"18","10119",10723
"19","10120",7174
"20","10121",2883
"21","10122",18
"22","10123",112
"23","10124",50
"24","10125",75
"25","10126",79
"26","10128",5902
"27","10131",56
"28","10133",14
"29","10134",1
"30","10135",110
"31","10138",59
"32","10140",13
"33","10141",125
"34","10142",1844
"35","10143",4
"36","10144",10
"37","10146",26
"38","10147",3
"39","10148",20
"40","10149",28
"41","10201",7671
"42","10202",4163
"43","10203",5394
"44","10204",2526
"45","10205",7445
"46","10206",56
"47","10208",4
"48","10210",5835
"49","10212",14
"50","10213",2506
"51","10214",123
"52","10215",3
"53","10216",1
"54","10218",20
"55","10301",3062
"56","10302",7325
"57","10401",4840
"58","10402",1439
"59","10403",2428
"60","10501",5252
"61","10502",3243
"62","10503",2131
"63","10504",2968
"64","10506",4
"65","10508",16
"66","10509",71
"67","10510",7
"68","10511",2
"69","20101",5818
"70","20102",2604
"71","20103",5586
"72","20104",6810
"73","20105",14169
"74","20106",5730
"75","20107",65
"76","20108",15
"77","20201",4127
"78","20202",4941
"79","20203",1473
"80","20204",1128
"81","20301",3330
"82","20302",4759
"83","20303",4092
"84","20304",5965
"85","20305",9688
"86","20401",5140
"87","20402",6727
"88","20403",3952
"89","20404",200
"90","20405",1492
"91","20406",2061
"92","20407",2839
"93","20408",2238
"94","20409",1206
"95","20410",1773
"96","20501",6424
"97","20502",3452
"98","20503",4195
"99","20601",7564
"100","20602",4764
"101","20603",11755
"102","20604",2427
"103","20606",3987
"104","20607",3492
"105","20608",1633
"106","20609",158
"107","20701",607
"108","20702",2317
"109","20703",1420
"110","20704",1545
"111","20801",8168
"112","20802",590
"113","20803",3234
"114","20804",2070
"115","20805",1257
"116","20901",1437
"117","20902",591
"118","21001",4382
"119","21002",5672
"120","21003",1680
"121","21004",5401
"122","21005",9401
"123","21006",8614
"124","21007",7600
"125","21008",2111
"126","21009",1210
"127","21010",1684
"128","21101",4430
"129","21102",3943
"130","21103",1329
"131","21104",1596
"132","21201",6714
"133","21202",4462
"134","21203",1641
"135","21301",2822
"136","21302",6103
"137","21303",4557
"138","21304",1453
"139","21305",6171
"140","21306",1151
"141","21307",1117
"142","21401",6058
"143","21402",1773
"144","21403",217
"145","21406",37
"146","21501",2350
"147","21502",7493
"148","21503",2999
"149","21504",3635
"150","21505",3204
"151","21601",1959
"152","30101",1771
"153","30102",1718
"154","30103",1697
"155","30104",1547
"156","30105",2853
"157","30106",5841
"158","30107",1824
"159","30108",4648
"160","30109",6624
"161","30110",5231
"162","30201",5510
"163","30202",1760
"164","30203",2325
"165","30204",4
"166","30301",3152
"167","30302",1937
"168","30303",6398
"169","30304",5336
"170","30305",2916
"171","30401",4880
"172","30402",3679
"173","30403",1102
"174","30404",67
"175","30501",8366
"176","30502",6635
"177","30503",4351
"178","30504",6781
"179","30601",7705
"180","30602",2571
"181","30603",4593
"182","30604",48
"183","30606",51
"184","30701",5376
"185","30702",4624
"186","30703",2595
"187","30801",8536
"188","30802",3895
"189","30901",4630
"190","30902",6926
"191","30903",8462
"192","30904",4198
"193","30905",8846
"194","30906",30
"195","30907",42
"196","31001",5993
"197","31002",3429
"198","31003",2367
"199","31101",5124
"200","31102",2962
"201","31103",44
"202","31201",8815
"203","31202",6376
"204","31203",1693
"205","31204",2843
"206","31205",1446
"207","31206",2169
"208","40101",4566
"209","40102",4909
"210","40103",1763
"211","40104",1958
"212","40105",4538
"213","40106",12519
"214","40107",2312
"215","40108",6813
"216","40109",3108
"217","40110",2510
"218","40111",7383
"219","40112",4686
"220","40201",2281
"221","40202",6053
"222","40301",3383
"223","40302",4671
"224","40303",1673
"225","40304",1763
"226","40401",3366
"227","40402",1145
"228","40501",4355
"229","40502",4847
"230","40503",2694
"231","40601",4119
"232","40602",1872
"233","40603",1767
"234","40604",637
"235","40701",6325
"236","40702",4216
"237","40801",3363
"238","40802",907
"239","40901",5057
"240","40902",9272
"241","40903",10056
"242","40904",6601
"243","40905",2970
"244","40906",780
"245","41001",1368
"246","41002",1295
"247","41101",1803
"248","41102",1363
"249","50101",10568
"250","50102",2335
"251","50103",3036
"252","50104",4528
"253","50105",8861
"254","50106",5487
"255","50107",7190
"256","50108",2488
"257","50109",3444
"258","50110",2801
"259","50111",2462
"260","50112",4919
"261","50113",8736
"262","50114",2480
"263","50115",3626
"264","50116",28
"265","50117",47
"266","50119",348
"267","50120",10
"268","50121",36
"269","50125",7
"270","50126",44
"271","50128",14
"272","50129",58
"273","50131",11
"274","50132",1
"275","50133",13
"276","50135",1
"277","50136",29
"278","50137",6
"279","50139",2352
"280","50141",18
"281","50142",5
"282","50143",17
"283","50145",18
"284","50147",3
"285","50201",2549
"286","50202",12800
"287","50203",3269
"288","50204",12816
"289","50205",4908
"290","50206",3746
"291","50207",1703
"292","50301",9097
"293","50302",4634
"294","50303",1532
"295","50304",1003
"296","50305",461
"297","50307",6552
"298","50401",2562
"299","50402",825
"300","50403",1462
"301","50501",3639
"302","50502",3348
"303","50503",4132
"304","50504",4484
"305","50601",15679
"306","50602",9292
"307","50603",3314
"308","50604",2021
"309","50605",7074
"310","50606",2968
"311","50701",5355
"312","50702",10125
"313","50703",4853
"314","50704",6568
"315","50705",4516
"316","50706",550
"317","50707",2222
"318","50801",4984
"319","50802",4633
"320","50803",3442
"321","50804",1250
"322","50901",2040
"323","50902",698
"324","51001",3571
"325","51002",8098
"326","51003",4001
"327","51004",1439
"328","51101",2468
"329","51102",3181
"330","51103",1277
"331","51201",4010
"332","51202",7161
"333","51203",4765
"334","51204",3882
"335","51205",773
"336","51206",1423
"337","51301",4062
"338","51302",925
"339","51401",7377
"340","51402",1305
"341","51501",2285
"342","51601",12485
"343","51602",10985
"344","51603",14086
"345","51604",3273
"346","51605",2888
"347","51606",1057
"348","51701",5452
"349","51702",1096
"350","51801",10652
"351","51802",15168
"352","51803",2226
"353","51804",1596
"354","60101",2943
"355","60102",3219
"356","60103",2292
"357","60104",7401
"358","60105",4873
"359","60106",1607
"360","60107",1843
"361","60108",25
