"","schoolcode","program","cutoff","mean_score","size","schoolname","sssdistrict","ssslong","ssslat"
"1",10101,"Agriculture",288,310.142857142857,49,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2",10101,"Business",305,324.86,100,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3",10101,"General Arts",316,330.09,100,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"4",10101,"General Science",299,329.1,50,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"5",10101,"Home Economics",284,300.571428571429,49,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"6",10101,"Visual Arts",296,311.54,50,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"7",10102,"General Arts",388,404.977272727273,88,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"8",10102,"General Science",389,406.414285714286,70,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"9",10102,"Home Economics",363,377.111111111111,45,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"10",10102,"Visual Arts",343,370.933333333333,45,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO","Accra Metropolitan",-0.197115257382393,5.6073956489563
"11",10103,"Agriculture",316,333.131578947368,38,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
"12",10103,"Business",341,357.966386554622,119,"WESLEY GRAMMAR SCHOOL, DANSOMAN","Accra Metropolitan",-0.197115257382393,5.6073956489563
